2023-10-02 22:05:56.928 [info] 로그 수준: Info
2023-10-02 22:05:56.928 [info] "git"에서 찾은 git 유효성을 검사하는 중
2023-10-02 22:05:56.928 [info] "2.17.1"에서 git "git"을(를) 사용하는 중
2023-10-02 22:05:56.928 [info] > git rev-parse --show-toplevel [5ms]
2023-10-02 22:05:56.929 [info] > git rev-parse --show-toplevel [1ms]
2023-10-02 22:09:46.779 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:10:03.919 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 22:10:12.864 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:10:19.863 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 22:10:29.912 [info] > git rev-parse --show-toplevel [6ms]
2023-10-02 22:10:36.218 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 22:10:59.393 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:11:00.932 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:11:16.266 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:11:23.589 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:11:28.655 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:11:30.938 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 22:12:04.032 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:12:20.344 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 22:12:20.902 [info] > git rev-parse --show-toplevel [0ms]
2023-10-02 22:12:21.872 [info] > git rev-parse --show-toplevel [0ms]
2023-10-02 22:12:22.182 [info] > git rev-parse --show-toplevel [1ms]
2023-10-02 22:12:37.319 [info] > git rev-parse --show-toplevel [1ms]
2023-10-02 22:13:38.357 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:13:40.567 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:13:52.847 [info] > git rev-parse --show-toplevel [0ms]
2023-10-02 22:13:52.850 [info] > git rev-parse --show-toplevel [0ms]
2023-10-02 22:14:03.052 [info] > git rev-parse --show-toplevel [1ms]
2023-10-02 22:14:08.950 [info] > git rev-parse --show-toplevel [1ms]
2023-10-02 22:14:10.244 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:14:19.923 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:14:24.556 [info] > git rev-parse --show-toplevel [1ms]
2023-10-02 22:14:25.445 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:14:26.199 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:14:40.412 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:14:50.157 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:15:02.545 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 22:15:07.944 [info] > git rev-parse --show-toplevel [2ms]
